2020-09-10 02:16:13,370 - 00_train.py - 00_train.py - 100 - INFO - TARGET MACHINE_TYPE: fan
2020-09-10 02:16:13,379 - 00_train.py - 00_train.py - 101 - INFO - MAKE DATA_LOADER
2020-09-10 02:17:39,201 - 00_train.py - 00_train.py - 108 - INFO - TRAINING
2020-09-10 03:03:23,150 - pytorch_modeler.py - pytorch_modeler.py - 181 - INFO - Epoch 73/100:train_score:9.045023, valid_score:8.949433
2020-09-10 03:04:00,003 - pytorch_modeler.py - pytorch_modeler.py - 181 - INFO - Epoch 74/100:train_score:9.042914, valid_score:8.958117
2020-09-10 03:04:37,013 - pytorch_modeler.py - pytorch_modeler.py - 181 - INFO - Epoch 75/100:train_score:9.042790, valid_score:8.959092
2020-09-10 03:05:13,277 - pytorch_modeler.py - pytorch_modeler.py - 181 - INFO - Epoch 76/100:train_score:9.041994, valid_score:8.965265
2020-09-10 03:05:50,226 - pytorch_modeler.py - pytorch_modeler.py - 181 - INFO - Epoch 77/100:train_score:9.040861, valid_score:8.952041
2020-09-10 03:06:27,021 - pytorch_modeler.py - pytorch_modeler.py - 181 - INFO - Epoch 78/100:train_score:9.043407, valid_score:8.965198
2020-09-10 03:07:04,150 - pytorch_modeler.py - pytorch_modeler.py - 181 - INFO - Epoch 79/100:train_score:9.040028, valid_score:8.962147
2020-09-10 03:07:41,274 - pytorch_modeler.py - pytorch_modeler.py - 181 - INFO - Epoch 80/100:train_score:9.038529, valid_score:8.974497
2020-09-10 03:08:18,196 - pytorch_modeler.py - pytorch_modeler.py - 181 - INFO - Epoch 81/100:train_score:9.038600, valid_score:8.954452
2020-09-10 03:08:55,139 - pytorch_modeler.py - pytorch_modeler.py - 181 - INFO - Epoch 82/100:train_score:9.037636, valid_score:8.985310
2020-09-10 03:09:31,915 - pytorch_modeler.py - pytorch_modeler.py - 181 - INFO - Epoch 83/100:train_score:9.036976, valid_score:8.965548
2020-09-10 03:10:08,127 - pytorch_modeler.py - pytorch_modeler.py - 181 - INFO - Epoch 84/100:train_score:9.035717, valid_score:8.965167
2020-09-10 03:10:45,152 - pytorch_modeler.py - pytorch_modeler.py - 181 - INFO - Epoch 85/100:train_score:9.035076, valid_score:8.955018
